,id,sku,max_image
0,252071637,2306479569647,7
1,208439152,1205273237747,6
2,105883794,7061351290695,4
3,252864898,6691558101873,1
4,252865522,1514344184226,1
5,146591309,9326668280273,7
6,186310083,8670919066758,6
7,105711332,2809331057193,7
8,128269189,2529686933666,2
9,124146479,7084235902333,1
10,128269542,2833045252984,5
11,248089336,6476314827589,3
12,100968622,7779587072868,10
13,115815396,3144108220747,1
14,178537658,4481668611083,8
15,124311508,4933424909213,2
16,128268591,6995279834169,3
17,184760272,8724734161038,2
18,124297898,8099725467969,2
19,247562600,5291452897644,4
20,124777115,2380622856532,2
21,85814056,5057374215277,2
22,166107627,8069756821088,2
23,99698946,2473493020117,4
24,173239501,7011743497584,10
25,48995670,2839689904686,1
26,171856499,1749454867968,8
27,48995698,6735572938782,1
28,259539350,7977277546771,10
29,259539630,1127637354741,6
30,242704717,2384067814898,6
31,204714674,6771336979589,5
32,259538641,7302336369873,3
33,259541645,1609411130731,6
34,259540454,6804497839143,5
35,259540470,9164190629821,2
36,259537885,4773917414089,8
37,248403341,2447568452476,6
38,202854180,4974520575116,8
39,184761460,8050200017284,3
40,105595024,9155116156290,4
41,22445110,5033231712478,11
42,254124374,2181337736704,8
43,254124492,1304444710119,10
44,187747352,1683236807705,4
45,196233252,8041666244022,5
46,73505435,7891792432147,9
47,125778220,1134213372626,9
48,200520738,8103014096619,9
49,48995794,7379464486471,1
50,216299568,5601720284775,6
51,206292265,9588283497469,6
52,103879065,7947051119750,1
53,175987433,3480790642705,7
54,59260878,3376454653107,3
55,193747939,9686721135241,4
56,178339958,5448966005391,9
57,153257821,2614823237094,3
58,173406369,3897516549056,9
59,130080161,4332669408618,10
60,153259051,4681783526390,6
61,115787401,7381165918896,8
62,79712620,1783847032189,8
63,145251957,1073244724644,6
64,184762640,8686598044807,9
65,84565546,8202724325488,4
66,140968125,3085392454165,6
67,169988909,9678198974334,10
68,249222142,6151439711061,9
69,159437868,7005430242239,10
70,247649119,8656616602082,12
71,178957891,5605344155142,4
72,142002374,7123080148988,5
73,186310624,5122380144075,5
74,116623755,3484854071257,9
75,179912036,6623921726163,9
76,124146776,2106390447914,4
77,200521052,8562340695901,9
78,200992484,2816907993934,2
79,134253975,7610064666083,10
80,170986708,7974242438337,5
81,198784791,9378568753900,9
82,184760818,8213468860686,5
83,125779663,4418767286383,2
84,193413604,1608012905487,7
85,244120169,7491269983149,2
86,193579455,5813384298659,9
87,144338834,9993943142300,9
88,52386734,7867340761267,3
89,128269676,6505365634138,5
90,182990579,1658221282109,7
91,248405426,7092319236034,8
92,245238787,4803758715625,3
93,193606313,2745377301344,7
94,125784730,2650314515494,2
95,254124610,7646742609968,5
96,173276394,7134561085160,10
97,184763442,9207168080253,6
98,99326090,1242957893382,10
99,54470248,8941258707247,1
100,143642548,5105275664501,1
101,167607868,7533519774420,3
102,200520991,7233340653124,10
103,152023896,4227429930821,1
104,246208622,6587779351681,9
105,128270174,9795381226738,10
106,125779290,9915862342702,2
107,179911894,7461232848670,10
108,186133249,2347215061997,2
109,244108369,6405188554385,4
110,149532730,3454399218713,8
111,178339892,4527838905842,8
112,161403991,1710258383539,4
113,151751161,5502353311289,3
114,142082764,5510197981080,5
115,175684759,6411635145828,7
116,200992551,1500347627950,5
117,161038116,6575830619020,3
118,167612057,6619624700581,5
119,249942028,6257823578923,3
120,179943344,3416025741817,8
121,151537804,4137184114869,7
122,244113518,5797001514842,7
123,182757130,3134488844710,6
124,169025028,5814544061275,5
125,150167468,8402480575416,3
126,184763197,1084734006252,5
127,244116154,3673526757217,10
128,173237799,9948501261902,10
129,200521255,9938617535761,10
130,79324247,1110046252588,9
