iter	Passed	Remaining
0	5	2950
1	14	3562
2	18	3063
3	22	2813
4	28	2794
5	32	2671
6	37	2606
7	41	2535
8	45	2495
9	49	2448
10	55	2453
11	60	2450
12	65	2446
13	69	2403
14	74	2400
15	78	2376
16	82	2345
17	87	2346
18	92	2352
19	97	2349
20	103	2358
21	108	2366
22	113	2360
23	119	2372
24	125	2388
25	130	2378
26	136	2383
27	140	2376
28	145	2365
29	150	2353
30	154	2343
31	160	2343
32	164	2329
33	169	2322
34	175	2326
35	179	2317
36	186	2328
37	191	2332
38	196	2322
39	204	2350
40	217	2435
41	223	2432
42	228	2427
43	237	2466
44	244	2467
45	249	2459
46	255	2459
47	259	2446
48	265	2443
49	271	2445
50	276	2430
51	280	2418
52	286	2420
53	293	2427
54	299	2423
55	305	2420
56	311	2417
57	315	2406
58	321	2402
59	325	2389
60	331	2382
61	336	2377
62	340	2364
63	344	2349
64	349	2341
65	354	2332
66	359	2320
67	364	2318
68	370	2312
69	375	2308
70	384	2320
71	389	2312
72	394	2306
73	400	2306
74	405	2299
75	412	2298
76	417	2295
77	422	2284
78	428	2281
79	433	2277
80	438	2267
81	443	2262
82	449	2258
83	454	2250
84	462	2256
85	467	2249
86	471	2239
87	477	2237
88	482	2230
89	487	2220
90	492	2211
91	497	2205
92	502	2198
93	507	2193
94	513	2188
95	517	2179
96	522	2171
97	528	2167
98	533	2160
99	538	2154
100	543	2148
101	549	2143
102	556	2145
103	563	2144
104	568	2139
105	575	2139
106	581	2136
107	587	2133
108	593	2127
109	597	2119
110	602	2111
111	608	2108
112	614	2104
113	620	2099
114	626	2097
115	631	2089
116	635	2080
117	640	2074
118	645	2068
119	652	2065
120	658	2062
121	664	2058
122	672	2060
123	677	2055
124	683	2049
125	688	2044
126	693	2036
127	698	2029
128	703	2023
129	708	2016
130	713	2009
131	718	2002
132	723	1996
133	728	1989
134	733	1982
135	738	1976
136	743	1970
137	750	1969
138	757	1967
139	762	1960
140	770	1962
141	776	1957
142	783	1956
143	791	1957
144	796	1950
145	802	1945
146	807	1939
147	815	1938
148	821	1934
149	826	1928
150	833	1925
151	838	1919
152	843	1912
153	848	1907
154	853	1899
155	858	1892
156	863	1886
157	868	1880
158	873	1872
159	878	1866
160	883	1860
161	888	1853
162	892	1845
163	898	1841
164	903	1834
165	908	1827
166	914	1824
167	919	1817
168	924	1809
169	929	1804
170	934	1798
171	939	1791
172	946	1788
173	950	1781
174	955	1774
175	961	1769
176	966	1763
177	971	1757
178	976	1751
179	982	1745
180	987	1739
181	992	1733
182	997	1727
183	1002	1720
184	1007	1715
185	1015	1714
186	1022	1711
187	1028	1707
188	1033	1701
189	1040	1696
190	1045	1691
191	1051	1686
192	1056	1680
193	1062	1675
194	1066	1668
195	1072	1662
196	1077	1657
197	1082	1650
198	1087	1644
199	1092	1639
200	1097	1632
201	1101	1625
202	1108	1621
203	1113	1615
204	1117	1607
205	1123	1602
206	1128	1596
207	1132	1590
208	1138	1584
209	1143	1579
210	1148	1572
211	1153	1567
212	1159	1561
213	1163	1555
214	1169	1549
215	1174	1544
216	1179	1537
217	1183	1531
218	1189	1526
219	1195	1521
220	1200	1515
221	1206	1511
222	1211	1505
223	1217	1500
224	1223	1495
225	1228	1489
226	1235	1485
227	1240	1479
228	1247	1476
229	1257	1475
230	1263	1471
231	1272	1469
232	1277	1464
233	1285	1460
234	1290	1455
235	1298	1452
236	1305	1449
237	1311	1443
238	1319	1441
239	1324	1435
240	1329	1428
241	1334	1422
242	1338	1415
243	1343	1409
244	1348	1403
245	1353	1397
246	1358	1391
247	1363	1385
248	1369	1380
249	1374	1374
250	1379	1368
251	1384	1362
252	1389	1356
253	1395	1351
254	1402	1347
255	1407	1341
256	1415	1337
257	1421	1333
258	1426	1327
259	1434	1324
260	1439	1318
261	1447	1314
262	1452	1309
263	1457	1302
264	1464	1298
265	1471	1294
266	1479	1291
267	1488	1288
268	1494	1283
269	1506	1283
270	1511	1277
271	1517	1271
272	1522	1265
273	1526	1259
274	1531	1253
275	1537	1247
276	1542	1241
277	1548	1236
278	1555	1232
279	1561	1226
280	1566	1220
281	1570	1214
282	1575	1208
283	1581	1202
284	1585	1196
285	1591	1190
286	1598	1186
287	1603	1180
288	1611	1176
289	1616	1170
290	1621	1164
291	1629	1160
292	1635	1155
293	1641	1150
294	1647	1145
295	1652	1139
296	1659	1134
297	1665	1128
298	1670	1122
299	1676	1117
300	1682	1112
301	1687	1106
302	1694	1101
303	1699	1095
304	1706	1091
305	1712	1085
306	1717	1079
307	1726	1076
308	1732	1070
309	1739	1065
310	1747	1062
311	1752	1055
312	1757	1050
313	1762	1044
314	1767	1038
315	1774	1033
316	1779	1027
317	1784	1021
318	1790	1016
319	1795	1009
320	1799	1003
321	1806	998
322	1811	992
323	1816	986
324	1824	982
325	1829	976
326	1835	971
327	1841	965
328	1846	959
329	1852	954
330	1858	948
331	1862	942
332	1868	937
333	1873	931
334	1878	925
335	1885	920
336	1891	914
337	1895	908
338	1902	903
339	1907	897
340	1911	891
341	1917	885
342	1923	880
343	1927	874
344	1933	868
345	1939	863
346	1945	857
347	1951	852
348	1956	846
349	1961	840
350	1967	835
351	1973	829
352	1980	824
353	1985	818
354	1991	813
355	1997	807
356	2003	802
357	2008	796
358	2014	791
359	2019	785
360	2024	779
361	2029	773
362	2035	768
363	2039	761
364	2045	756
365	2051	750
366	2056	745
367	2062	739
368	2068	734
369	2073	728
370	2079	722
371	2085	717
372	2090	711
373	2097	706
374	2102	700
375	2109	695
376	2115	690
377	2120	684
378	2127	679
379	2133	673
380	2138	668
381	2146	663
382	2152	657
383	2159	652
384	2166	647
385	2171	641
386	2178	636
387	2184	630
388	2189	624
389	2196	619
390	2201	613
391	2206	607
392	2214	603
393	2222	597
394	2228	592
395	2233	586
396	2239	581
397	2245	575
398	2250	569
399	2256	564
400	2261	558
401	2266	552
402	2272	546
403	2278	541
404	2283	535
405	2289	530
406	2294	524
407	2299	518
408	2306	513
409	2310	507
410	2315	501
411	2321	495
412	2326	490
413	2331	484
414	2336	478
415	2342	472
416	2347	467
417	2352	461
418	2357	455
419	2362	450
420	2368	444
421	2374	438
422	2379	433
423	2385	427
424	2390	421
425	2395	416
426	2401	410
427	2407	404
428	2412	399
429	2418	393
430	2424	388
431	2430	382
432	2436	376
433	2441	371
434	2450	366
435	2457	360
436	2462	355
437	2468	349
438	2473	343
439	2479	338
440	2486	332
441	2493	327
442	2501	321
443	2506	316
444	2512	310
445	2519	305
446	2526	299
447	2532	293
448	2536	288
449	2541	282
450	2547	276
451	2554	271
452	2558	265
453	2565	259
454	2570	254
455	2576	248
456	2583	243
457	2588	237
458	2592	231
459	2599	226
460	2604	220
461	2611	214
462	2617	209
463	2621	203
464	2628	197
465	2634	192
466	2639	186
467	2647	181
468	2652	175
469	2657	169
470	2664	164
471	2669	158
472	2675	152
473	2681	147
474	2685	141
475	2695	135
476	2702	130
477	2711	124
478	2716	119
479	2721	113
480	2728	107
481	2733	102
482	2738	96
483	2744	90
484	2750	85
485	2755	79
486	2762	73
487	2767	68
488	2773	62
489	2780	56
490	2785	51
491	2792	45
492	2797	39
493	2803	34
494	2810	28
495	2815	22
496	2820	17
497	2827	11
498	2831	5
499	2837	0
